Filepath,Match Status,Folder Name,Sample Name,Sample Number,Lane Number,Read
SLV84_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV08_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV60_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV35_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV72_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV29_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV10_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV40_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV38_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV39_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV53_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV80_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV66_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV67_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV21_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV68_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV46_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV01_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV51_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV70_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV85_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV10_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV73_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV30_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
