institute_uuid,folder_uuid
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,beab368e-5709-4111-a87a-99455db7de90
6aefb066-f13e-4830-82ac-7fd60e473a89,2a833b3f-6ca5-427e-970e-9c50e2ca413d
28af325f-3d77-4b41-8946-87751f622fb2,2a504e43-6f4a-48f1-806e-58944ad85646
8b31a427-4ece-47e3-ae65-a2e8b767a269,37b9f28c-dfa3-486c-ba08-145575a9521b
28af325f-3d77-4b41-8946-87751f622fb2,5493d4e1-66ed-4f55-93ad-2b6e3e88968d
28af325f-3d77-4b41-8946-87751f622fb2,2718b44b-fe98-48b9-a64c-c52133794b29
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,63d0e147-b8c7-4bdf-8479-0c1219dd9467
28af325f-3d77-4b41-8946-87751f622fb2,af5e1539-a4cc-47fd-b8d6-f3920bb9e17b
28af325f-3d77-4b41-8946-87751f622fb2,5a687b84-5a29-4a55-a7f9-4e0c8f82cb92
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,710344ea-c7b3-4bee-9d4e-a1ceed710453
6aefb066-f13e-4830-82ac-7fd60e473a89,99b93485-b3af-4c96-9aa2-0444fddbe888
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,e2ebe77e-78b0-4383-96aa-44632376bd81
28af325f-3d77-4b41-8946-87751f622fb2,a1e1d011-abba-4471-82e2-aa69f0b9e534
28af325f-3d77-4b41-8946-87751f622fb2,0940a15a-ea6b-42a3-b5e3-0f213f541ddf
28af325f-3d77-4b41-8946-87751f622fb2,ab1c2dfd-bfee-4af8-89ee-6d4ed87b22e4
4a8d4d81-8b09-4252-b3f5-478c728eb9d7,4200f146-d144-4861-9374-07e3c35b762a
6aefb066-f13e-4830-82ac-7fd60e473a89,4200f146-d144-4861-9374-07e3c35b762a
28af325f-3d77-4b41-8946-87751f622fb2,139c9c80-0d73-4432-9661-0f33004c3538
6aefb066-f13e-4830-82ac-7fd60e473a89,cd5648d8-0356-4a6b-8505-c672bca6118b
