tissue_uuid,folder_uuid
2c15ea09-8559-4228-ade2-ec9cd8349142,bbe52577-c173-4e47-8cde-890d2f8a5502
ae6df4f3-e773-4204-9265-48ba9bc40c8c,479c710a-fc4b-4c8d-a2a5-11a4ef6a0b9f
b942e990-155f-4b5c-9ae3-80173fa1cde3,cd5648d8-0356-4a6b-8505-c672bca6118b
d18bca7b-d498-4b08-b748-3e27bf3e4ddb,d7e27b73-045c-4cab-b056-84a3d02dcf32
ae6df4f3-e773-4204-9265-48ba9bc40c8c,d7e27b73-045c-4cab-b056-84a3d02dcf32
b942e990-155f-4b5c-9ae3-80173fa1cde3,2d9c53a5-afde-4533-86fe-2fe48783ba6c
d18bca7b-d498-4b08-b748-3e27bf3e4ddb,934d2834-a450-413e-8a0c-5d2a811cce9f
ae6df4f3-e773-4204-9265-48ba9bc40c8c,934d2834-a450-413e-8a0c-5d2a811cce9f
45a596cb-d32d-452e-b0b9-31862e928292,915aa6ce-6c5b-4b43-beba-4ac58eef0586
141a6ef8-42d5-4b0e-82f1-385a5db54a6b,915aa6ce-6c5b-4b43-beba-4ac58eef0586
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,fd8b4dc4-9ed8-4471-b339-1bab89bf8220
b942e990-155f-4b5c-9ae3-80173fa1cde3,7d51f5cc-bf97-4291-9e35-620011a9cb47
841cf322-b49c-435a-84a3-4cbe114bfded,351a0621-ebb4-41f5-8607-f59b2ab9bff5
841cf322-b49c-435a-84a3-4cbe114bfded,aab3b899-1b58-4cfe-a847-d85e94bd4ea8
841cf322-b49c-435a-84a3-4cbe114bfded,d90aacbb-0d13-4ee7-a616-1e49ad83039c
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,4b5be2b9-76bf-4cb9-af6d-63edca252c7d
841cf322-b49c-435a-84a3-4cbe114bfded,0366ceb9-18a2-48aa-93db-c502aa53b542
3cda6369-9d25-4ea3-9d23-1d99b852662c,7627a2f9-1f50-4793-a8ce-314e114b1c75
841cf322-b49c-435a-84a3-4cbe114bfded,7627a2f9-1f50-4793-a8ce-314e114b1c75
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,4f6c6a55-ac7a-43c1-809c-4610b151cc77
841cf322-b49c-435a-84a3-4cbe114bfded,8b8642fd-0b10-46d2-86b8-5b67c7298ed7
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
b2735f64-3f66-434f-9962-55d1dd2e9a57,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
b942e990-155f-4b5c-9ae3-80173fa1cde3,0ea969d2-afa3-41dd-8b2e-ac294441c75a
841cf322-b49c-435a-84a3-4cbe114bfded,010e9dea-6e52-4fa0-8833-f3f113a6923f
841cf322-b49c-435a-84a3-4cbe114bfded,21426512-79dc-4dac-a1fd-142a57bf5e26
2c15ea09-8559-4228-ade2-ec9cd8349142,5d996ff1-78cd-4bd9-8a77-84de51e13a49
841cf322-b49c-435a-84a3-4cbe114bfded,9ca67b7c-8a33-4aea-af5c-539094f429b5
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,58bf1df9-4543-4a2b-88d2-cd215c4a1ed8
841cf322-b49c-435a-84a3-4cbe114bfded,a90ba0cb-e99d-4777-a3e3-b43dff30484e
b942e990-155f-4b5c-9ae3-80173fa1cde3,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
b942e990-155f-4b5c-9ae3-80173fa1cde3,589471e4-7334-4ab1-8296-aeb4ae08c6bc
2c15ea09-8559-4228-ade2-ec9cd8349142,7057f152-02fc-4a30-bece-9f5660d6ea7a
b942e990-155f-4b5c-9ae3-80173fa1cde3,72769c37-89e3-4e6f-a990-1e17fddbe9c0
841cf322-b49c-435a-84a3-4cbe114bfded,64bb1592-6273-4d72-a58d-36ec74f1d537
cf7c6d00-9b8d-4134-96e5-117c16ee8422,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
d18bca7b-d498-4b08-b748-3e27bf3e4ddb,545d8c4b-bb08-412f-abd5-c75b6c1dcb81
ae6df4f3-e773-4204-9265-48ba9bc40c8c,545d8c4b-bb08-412f-abd5-c75b6c1dcb81
