researcher_uuid,folder_uuid
e4528abd-51f9-4644-9a34-51de042b7197,aab3b899-1b58-4cfe-a847-d85e94bd4ea8
e4528abd-51f9-4644-9a34-51de042b7197,d90aacbb-0d13-4ee7-a616-1e49ad83039c
a13fa60f-27b5-4b12-9504-29445ff57422,fb7cb3d1-1770-4379-8b05-cff5468bed09
630ef71d-0426-4b55-8cce-aeda5bba3efc,fb7cb3d1-1770-4379-8b05-cff5468bed09
1aa6a879-7de4-400c-9cee-9b67aff8efa5,db58d58a-f5b5-47db-91da-bfe8e2163579
861a8d4e-734f-4dbf-8efb-808add7d90eb,fbe14422-2dd2-48ac-a347-5e08bb0e589d
e4528abd-51f9-4644-9a34-51de042b7197,8de8c2f3-2cbf-425a-929b-9d0725ea482a
e4528abd-51f9-4644-9a34-51de042b7197,0366ceb9-18a2-48aa-93db-c502aa53b542
245bee66-f7df-48e6-ab01-9f3db8e7461f,4f6b945f-9766-4f7f-ba4f-94a26372c081
e4528abd-51f9-4644-9a34-51de042b7197,7627a2f9-1f50-4793-a8ce-314e114b1c75
861a8d4e-734f-4dbf-8efb-808add7d90eb,b597bc52-c994-4868-9b87-2dd7310f0039
1aa6a879-7de4-400c-9cee-9b67aff8efa5,4f6c6a55-ac7a-43c1-809c-4610b151cc77
a13fa60f-27b5-4b12-9504-29445ff57422,dd9adfea-bfb4-435f-9a75-d48670f5bf51
630ef71d-0426-4b55-8cce-aeda5bba3efc,dd9adfea-bfb4-435f-9a75-d48670f5bf51
245bee66-f7df-48e6-ab01-9f3db8e7461f,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
e4528abd-51f9-4644-9a34-51de042b7197,0ea969d2-afa3-41dd-8b2e-ac294441c75a
2d98aba8-f1fd-40ed-931f-ff43a0529e9c,2f2831b0-63f9-42aa-8665-3dcd5af3a80c
e4528abd-51f9-4644-9a34-51de042b7197,e0de5d12-f4b6-47f6-8b67-29121c5dc6b5
e4528abd-51f9-4644-9a34-51de042b7197,010e9dea-6e52-4fa0-8833-f3f113a6923f
e4528abd-51f9-4644-9a34-51de042b7197,21426512-79dc-4dac-a1fd-142a57bf5e26
c0e367fc-933d-47dc-abe1-6a6da369de02,bc9d1b1e-4ccd-4227-a908-67a838ff1839
24e6ddb0-bcab-4315-a1db-57b1355db94e,bc9d1b1e-4ccd-4227-a908-67a838ff1839
30510f62-5635-4299-9f5a-42e3407f9297,bc9d1b1e-4ccd-4227-a908-67a838ff1839
6cb5063c-5ae4-43d3-a566-c5a711037f36,5d996ff1-78cd-4bd9-8a77-84de51e13a49
df9fa6c0-7dec-499e-969d-4e99caf2397f,9bcb3190-c4ae-4f95-955a-e46d1fd50212
e4528abd-51f9-4644-9a34-51de042b7197,9ca67b7c-8a33-4aea-af5c-539094f429b5
245bee66-f7df-48e6-ab01-9f3db8e7461f,58bf1df9-4543-4a2b-88d2-cd215c4a1ed8
e4528abd-51f9-4644-9a34-51de042b7197,a90ba0cb-e99d-4777-a3e3-b43dff30484e
245bee66-f7df-48e6-ab01-9f3db8e7461f,444f728e-15d4-4491-af2b-ac9d7501f74d
e4528abd-51f9-4644-9a34-51de042b7197,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
e4528abd-51f9-4644-9a34-51de042b7197,589471e4-7334-4ab1-8296-aeb4ae08c6bc
6cb5063c-5ae4-43d3-a566-c5a711037f36,7057f152-02fc-4a30-bece-9f5660d6ea7a
a901e97f-60eb-4173-95b9-cc68ad994499,a3365972-ff23-4627-afb8-fbc4c646f6dd
861a8d4e-734f-4dbf-8efb-808add7d90eb,72769c37-89e3-4e6f-a990-1e17fddbe9c0
7c998658-803d-4ede-b6aa-b0cddf665ff9,72769c37-89e3-4e6f-a990-1e17fddbe9c0
e4528abd-51f9-4644-9a34-51de042b7197,64bb1592-6273-4d72-a58d-36ec74f1d537
861a8d4e-734f-4dbf-8efb-808add7d90eb,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
8ea62a96-59bd-40e2-8c52-4580b023c9a5,e1619ffb-670a-40fd-ab96-f13452398552
1aa6a879-7de4-400c-9cee-9b67aff8efa5,fec1fef2-6af7-418d-b097-e52fb679bd81
